iteration=4, K=1, weight=0.000000, tolerance=0.100000, penalty=1, testing accuracy=0.615780
iteration=4, K=1, weight=0.000000, tolerance=0.100000, penalty=10, testing accuracy=0.626072
iteration=4, K=1, weight=0.000000, tolerance=0.100000, penalty=20, testing accuracy=0.607204
iteration=4, K=1, weight=0.000000, tolerance=0.100000, penalty=30, testing accuracy=0.566038
iteration=4, K=1, weight=0.000000, tolerance=0.100000, penalty=40, testing accuracy=0.644940
iteration=4, K=1, weight=0.000000, tolerance=0.001000, penalty=1, testing accuracy=0.624357
iteration=4, K=1, weight=0.000000, tolerance=0.001000, penalty=10, testing accuracy=0.638079
iteration=4, K=1, weight=0.000000, tolerance=0.001000, penalty=20, testing accuracy=0.677530
iteration=4, K=1, weight=0.000000, tolerance=0.001000, penalty=30, testing accuracy=0.543739
iteration=4, K=1, weight=0.000000, tolerance=0.001000, penalty=40, testing accuracy=0.584906
iteration=4, K=1, weight=0.000000, tolerance=0.000010, penalty=1, testing accuracy=0.622642
iteration=4, K=1, weight=0.000000, tolerance=0.000010, penalty=10, testing accuracy=0.636364
iteration=4, K=1, weight=0.000000, tolerance=0.000010, penalty=20, testing accuracy=0.655232
iteration=4, K=1, weight=0.000000, tolerance=0.000010, penalty=30, testing accuracy=0.547170
iteration=4, K=1, weight=0.000000, tolerance=0.000010, penalty=40, testing accuracy=0.595197
iteration=4, K=1, weight=2.000000, tolerance=0.100000, penalty=1, testing accuracy=0.620926
iteration=4, K=1, weight=2.000000, tolerance=0.100000, penalty=10, testing accuracy=0.653516
iteration=4, K=1, weight=2.000000, tolerance=0.100000, penalty=20, testing accuracy=0.622642
iteration=4, K=1, weight=2.000000, tolerance=0.100000, penalty=30, testing accuracy=0.638079
iteration=4, K=1, weight=2.000000, tolerance=0.100000, penalty=40, testing accuracy=0.588336
iteration=4, K=1, weight=2.000000, tolerance=0.001000, penalty=1, testing accuracy=0.622642
iteration=4, K=1, weight=2.000000, tolerance=0.001000, penalty=10, testing accuracy=0.612350
iteration=4, K=1, weight=2.000000, tolerance=0.001000, penalty=20, testing accuracy=0.653516
iteration=4, K=1, weight=2.000000, tolerance=0.001000, penalty=30, testing accuracy=0.481990
iteration=4, K=1, weight=2.000000, tolerance=0.001000, penalty=40, testing accuracy=0.588336
iteration=4, K=1, weight=2.000000, tolerance=0.000010, penalty=1, testing accuracy=0.619211
iteration=4, K=1, weight=2.000000, tolerance=0.000010, penalty=10, testing accuracy=0.619211
iteration=4, K=1, weight=2.000000, tolerance=0.000010, penalty=20, testing accuracy=0.584906
iteration=4, K=1, weight=2.000000, tolerance=0.000010, penalty=30, testing accuracy=0.603774
iteration=4, K=1, weight=2.000000, tolerance=0.000010, penalty=40, testing accuracy=0.639794
iteration=4, K=1, weight=4.000000, tolerance=0.100000, penalty=1, testing accuracy=0.622642
iteration=4, K=1, weight=4.000000, tolerance=0.100000, penalty=10, testing accuracy=0.646655
iteration=4, K=1, weight=4.000000, tolerance=0.100000, penalty=20, testing accuracy=0.620926
iteration=4, K=1, weight=4.000000, tolerance=0.100000, penalty=30, testing accuracy=0.631218
iteration=4, K=1, weight=4.000000, tolerance=0.100000, penalty=40, testing accuracy=0.624357
iteration=4, K=1, weight=4.000000, tolerance=0.001000, penalty=1, testing accuracy=0.624357
iteration=4, K=1, weight=4.000000, tolerance=0.001000, penalty=10, testing accuracy=0.638079
iteration=4, K=1, weight=4.000000, tolerance=0.001000, penalty=20, testing accuracy=0.662093
iteration=4, K=1, weight=4.000000, tolerance=0.001000, penalty=30, testing accuracy=0.658662
iteration=4, K=1, weight=4.000000, tolerance=0.001000, penalty=40, testing accuracy=0.650086
iteration=4, K=1, weight=4.000000, tolerance=0.000010, penalty=1, testing accuracy=0.622642
iteration=4, K=1, weight=4.000000, tolerance=0.000010, penalty=10, testing accuracy=0.629503
iteration=4, K=1, weight=4.000000, tolerance=0.000010, penalty=20, testing accuracy=0.598628
iteration=4, K=1, weight=4.000000, tolerance=0.000010, penalty=30, testing accuracy=0.588336
iteration=4, K=1, weight=4.000000, tolerance=0.000010, penalty=40, testing accuracy=0.483705
iteration=4, K=1, weight=6.000000, tolerance=0.100000, penalty=1, testing accuracy=0.632933
iteration=4, K=1, weight=6.000000, tolerance=0.100000, penalty=10, testing accuracy=0.636364
iteration=4, K=1, weight=6.000000, tolerance=0.100000, penalty=20, testing accuracy=0.602058
iteration=4, K=1, weight=6.000000, tolerance=0.100000, penalty=30, testing accuracy=0.655232
iteration=4, K=1, weight=6.000000, tolerance=0.100000, penalty=40, testing accuracy=0.478559
iteration=4, K=1, weight=6.000000, tolerance=0.001000, penalty=1, testing accuracy=0.619211
iteration=4, K=1, weight=6.000000, tolerance=0.001000, penalty=10, testing accuracy=0.650086
iteration=4, K=1, weight=6.000000, tolerance=0.001000, penalty=20, testing accuracy=0.646655
iteration=4, K=1, weight=6.000000, tolerance=0.001000, penalty=30, testing accuracy=0.631218
iteration=4, K=1, weight=6.000000, tolerance=0.001000, penalty=40, testing accuracy=0.641509
iteration=4, K=1, weight=6.000000, tolerance=0.000010, penalty=1, testing accuracy=0.620926
iteration=4, K=1, weight=6.000000, tolerance=0.000010, penalty=10, testing accuracy=0.632933
iteration=4, K=1, weight=6.000000, tolerance=0.000010, penalty=20, testing accuracy=0.636364
iteration=4, K=1, weight=6.000000, tolerance=0.000010, penalty=30, testing accuracy=0.638079
iteration=4, K=1, weight=6.000000, tolerance=0.000010, penalty=40, testing accuracy=0.629503
iteration=4, K=1, weight=8.000000, tolerance=0.100000, penalty=1, testing accuracy=0.619211
iteration=4, K=1, weight=8.000000, tolerance=0.100000, penalty=10, testing accuracy=0.634648
iteration=4, K=1, weight=8.000000, tolerance=0.100000, penalty=20, testing accuracy=0.670669
iteration=4, K=1, weight=8.000000, tolerance=0.100000, penalty=30, testing accuracy=0.667238
iteration=4, K=1, weight=8.000000, tolerance=0.100000, penalty=40, testing accuracy=0.586621
iteration=4, K=1, weight=8.000000, tolerance=0.001000, penalty=1, testing accuracy=0.619211
iteration=4, K=1, weight=8.000000, tolerance=0.001000, penalty=10, testing accuracy=0.626072
iteration=4, K=1, weight=8.000000, tolerance=0.001000, penalty=20, testing accuracy=0.566038
iteration=4, K=1, weight=8.000000, tolerance=0.001000, penalty=30, testing accuracy=0.615780
iteration=4, K=1, weight=8.000000, tolerance=0.001000, penalty=40, testing accuracy=0.548885
iteration=4, K=1, weight=8.000000, tolerance=0.000010, penalty=1, testing accuracy=0.620926
iteration=4, K=1, weight=8.000000, tolerance=0.000010, penalty=10, testing accuracy=0.626072
iteration=4, K=1, weight=8.000000, tolerance=0.000010, penalty=20, testing accuracy=0.641509
iteration=4, K=1, weight=8.000000, tolerance=0.000010, penalty=30, testing accuracy=0.581475
iteration=4, K=1, weight=8.000000, tolerance=0.000010, penalty=40, testing accuracy=0.528302
